Date,Open,High,Low,Close,Volume
2023-09-07,1.07239,1.0732,1.0685,1.0695,144798
2023-09-08,1.06975,1.0744,1.0692,1.0712,154246
2023-09-10,1.07107,1.0722,1.07065,1.0716,4631
2023-09-11,1.07162,1.07594,1.0708,1.07475,166078
2023-09-12,1.07472,1.07687,1.0704,1.07529,164181
2023-09-13,1.07532,1.0765,1.07109,1.07328,188768
2023-09-14,1.07328,1.0754,1.0628,1.06348,187083
2023-09-15,1.06354,1.0688,1.0632,1.0672,173473
2023-09-17,1.06548,1.0669,1.06542,1.06677,2638
2023-09-18,1.06677,1.0699,1.0653,1.0691,165566
2023-09-19,1.06919,1.0718,1.06738,1.06813,159054
2023-09-20,1.06814,1.0737,1.0646,1.06499,186567
2023-09-21,1.06496,1.06735,1.06165,1.06601,200176
2023-09-22,1.06602,1.0672,1.0614,1.0671,175051
2023-09-24,1.06398,1.0652,1.06398,1.06478,3695
2023-09-25,1.0648,1.06555,1.0574,1.0591,163400
2023-09-26,1.05913,1.0609,1.056,1.05691,175701
2023-09-27,1.05687,1.0574,1.0487,1.05053,206483
2023-09-28,1.05053,1.0579,1.049,1.05621,211174
2023-09-29,1.0562,1.06171,1.0556,1.0585,199121
2023-10-01,1.05664,1.05741,1.0557,1.05639,4100
2023-10-02,1.05639,1.0592,1.0474,1.04797,177930
2023-10-03,1.04798,1.0494,1.0447,1.0468,212216
2023-10-04,1.04685,1.05321,1.045,1.05066,206080
2023-10-05,1.05063,1.0553,1.0499,1.0545,200340
2023-10-06,1.05461,1.0601,1.0482,1.06,207353
2023-10-08,1.05624,1.0569,1.05488,1.05659,7029
2023-10-09,1.05662,1.0581,1.0518,1.05783,208480
2023-10-10,1.05783,1.062,1.0553,1.0604,227187
2023-10-11,1.06043,1.06347,1.05773,1.0623,201138
2023-10-12,1.06228,1.06397,1.0522,1.05355,200442
2023-10-13,1.05356,1.05586,1.0494,1.0511,205064
2023-10-15,1.05112,1.05251,1.05015,1.05217,4735
2023-10-16,1.05219,1.0564,1.0514,1.05543,189181
2023-10-17,1.05541,1.0595,1.0531,1.05728,200537
2023-10-18,1.05729,1.05941,1.0522,1.05377,197504
2023-10-19,1.05378,1.0616,1.0527,1.05862,204105
2023-10-20,1.0586,1.06037,1.0564,1.0603,173615
